Title,Abstract,Authors,Year,URL
"Deep Learning for Radio-based Human Sensing: Recent Advances and Future
  Directions","While decade-long research has clearly demonstrated the vast potential of
radio frequency (RF) for many human sensing tasks, scaling this technology to
large scenarios remained problematic with conventional approaches. Recently,
researchers have successfully applied deep learning to take radio-based sensing
to a new level. Many different types of deep learning models have been proposed
to achieve high sensing accuracy over a large population and activity set, as
well as in unseen environments. Deep learning has also enabled detection of
novel human sensing phenomena that were previously not possible. In this
survey, we provide a comprehensive review and taxonomy of recent research
efforts on deep learning based RF sensing. We also identify and compare several
publicly released labeled RF sensing datasets that can facilitate such deep
learning research. Finally, we summarize the lessons learned and discuss the
current limitations and future directions of deep learning based RF sensing.","Isura Nirmal, Abdelwahed Khamis, Mahbub Hassan, Wen Hu, Xiaoqing Zhu",2020,http://arxiv.org/abs/2010.12717v2
Recent Advances in Deep Learning for Object Detection,"Object detection is a fundamental visual recognition problem in computer
vision and has been widely studied in the past decades. Visual object detection
aims to find objects of certain target classes with precise localization in a
given image and assign each object instance a corresponding class label. Due to
the tremendous successes of deep learning based image classification, object
detection techniques using deep learning have been actively studied in recent
years. In this paper, we give a comprehensive survey of recent advances in
visual object detection with deep learning. By reviewing a large body of recent
related work in literature, we systematically analyze the existing object
detection frameworks and organize the survey into three major parts: (i)
detection components, (ii) learning strategies, and (iii) applications &
benchmarks. In the survey, we cover a variety of factors affecting the
detection performance in detail, such as detector architectures, feature
learning, proposal generation, sampling strategies, etc. Finally, we discuss
several future directions to facilitate and spur future research for visual
object detection with deep learning. Keywords: Object Detection, Deep Learning,
Deep Convolutional Neural Networks","Xiongwei Wu, Doyen Sahoo, Steven C. H. Hoi",2019,http://arxiv.org/abs/1908.03673v1
"Row-Sparse Discriminative Deep Dictionary Learning for Hyperspectral
  Image Classification","In recent studies in hyperspectral imaging, biometrics and energy analytics,
the framework of deep dictionary learning has shown promise. Deep dictionary
learning outperforms other traditional deep learning tools when training data
is limited; therefore hyperspectral imaging is one such example that benefits
from this framework. Most of the prior studies were based on the unsupervised
formulation; and in all cases, the training algorithm was greedy and hence
sub-optimal. This is the first work that shows how to learn the deep dictionary
learning problem in a joint fashion. Moreover, we propose a new discriminative
penalty to the said framework. The third contribution of this work is showing
how to incorporate stochastic regularization techniques into the deep
dictionary learning framework. Experimental results on hyperspectral image
classification shows that the proposed technique excels over all
state-of-the-art deep and shallow (traditional) learning based methods
published in recent times.","Vanika Singhal, Angshul Majumdar",2019,http://arxiv.org/abs/1912.10804v1
On tuning deep learning models: a data mining perspective,"Deep learning algorithms vary depending on the underlying connection
mechanism of nodes of them. They have various hyperparameters that are either
set via specific algorithms or randomly chosen. Meanwhile, hyperparameters of
deep learning algorithms have the potential to help enhance the performance of
the machine learning tasks. In this paper, a tuning guideline is provided for
researchers who cope with issues originated from hyperparameters of deep
learning models. To that end, four types of deep learning algorithms are
investigated in terms of tuning and data mining perspective. Further, common
search methods of hyperparameters are evaluated on four deep learning
algorithms. Normalization helps increase the performance of classification,
according to the results of this study. The number of features has not
contributed to the decline in the accuracy of deep learning algorithms. Even
though high sparsity results in low accuracy, a uniform distribution is much
more crucial to reach reliable results in terms of data mining.",M. M. Ozturk,2020,http://arxiv.org/abs/2011.09857v1
"Physics-Informed Deep Learning: A Promising Technique for System
  Reliability Assessment","Considerable research has been devoted to deep learning-based predictive
models for system prognostics and health management in the reliability and
safety community. However, there is limited study on the utilization of deep
learning for system reliability assessment. This paper aims to bridge this gap
and explore this new interface between deep learning and system reliability
assessment by exploiting the recent advances of physics-informed deep learning.
Particularly, we present an approach to frame system reliability assessment in
the context of physics-informed deep learning and discuss the potential value
of physics-informed generative adversarial networks for the uncertainty
quantification and measurement data incorporation in system reliability
assessment. The proposed approach is demonstrated by three numerical examples
involving a dual-processor computing system. The results indicate the potential
value of physics-informed deep learning to alleviate computational challenges
and combine measurement data and mathematical models for system reliability
assessment.","Taotao Zhou, Enrique Lopez Droguett, Ali Mosleh",2021,http://arxiv.org/abs/2108.10828v2
Text Classification: A Perspective of Deep Learning Methods,"In recent years, with the rapid development of information on the Internet,
the number of complex texts and documents has increased exponentially, which
requires a deeper understanding of deep learning methods in order to accurately
classify texts using deep learning techniques, and thus deep learning methods
have become increasingly important in text classification. Text classification
is a class of tasks that automatically classifies a set of documents into
multiple predefined categories based on their content and subject matter. Thus,
the main goal of text classification is to enable users to extract information
from textual resources and process processes such as retrieval, classification,
and machine learning techniques together in order to classify different
categories. Many new techniques of deep learning have already achieved
excellent results in natural language processing. The success of these learning
algorithms relies on their ability to understand complex models and non-linear
relationships in data. However, finding the right structure, architecture, and
techniques for text classification is a challenge for researchers. This paper
introduces deep learning-based text classification algorithms, including
important steps required for text classification tasks such as feature
extraction, feature reduction, and evaluation strategies and methods. At the
end of the article, different deep learning text classification methods are
compared and summarized.",Zhongwei Wan,2023,http://arxiv.org/abs/2309.13761v1
Plastic Learning with Deep Fourier Features,"Deep neural networks can struggle to learn continually in the face of
non-stationarity. This phenomenon is known as loss of plasticity. In this
paper, we identify underlying principles that lead to plastic algorithms. In
particular, we provide theoretical results showing that linear function
approximation, as well as a special case of deep linear networks, do not suffer
from loss of plasticity. We then propose deep Fourier features, which are the
concatenation of a sine and cosine in every layer, and we show that this
combination provides a dynamic balance between the trainability obtained
through linearity and the effectiveness obtained through the nonlinearity of
neural networks. Deep networks composed entirely of deep Fourier features are
highly trainable and sustain their trainability over the course of learning.
Our empirical results show that continual learning performance can be
drastically improved by replacing ReLU activations with deep Fourier features.
These results hold for different continual learning scenarios (e.g., label
noise, class incremental learning, pixel permutations) on all major supervised
learning datasets used for continual learning research, such as CIFAR10,
CIFAR100, and tiny-ImageNet.","Alex Lewandowski, Dale Schuurmans, Marlos C. Machado",2024,http://arxiv.org/abs/2410.20634v1
Characterizing the Weight Space for Different Learning Models,"Deep Learning has become one of the primary research areas in developing
intelligent machines. Most of the well-known applications (such as Speech
Recognition, Image Processing and NLP) of AI are driven by Deep Learning. Deep
Learning algorithms mimic human brain using artificial neural networks and
progressively learn to accurately solve a given problem. But there are
significant challenges in Deep Learning systems. There have been many attempts
to make deep learning models imitate the biological neural network. However,
many deep learning models have performed poorly in the presence of adversarial
examples. Poor performance in adversarial examples leads to adversarial attacks
and in turn leads to safety and security in most of the applications. In this
paper we make an attempt to characterize the solution space of a deep neural
network in terms of three different subsets viz. weights belonging to exact
trained patterns, weights belonging to generalized pattern set and weights
belonging to adversarial pattern sets. We attempt to characterize the solution
space with two seemingly different learning paradigms viz. the Deep Neural
Networks and the Dense Associative Memory Model, which try to achieve learning
via quite different mechanisms. We also show that adversarial attacks are
generally less successful against Associative Memory Models than Deep Neural
Networks.","Saurav Musunuru, Jay N. Paranjape, Rahul Kumar Dubey, Vijendran G. Venkoparao",2020,http://arxiv.org/abs/2006.02724v1
"Advancing Deep Active Learning & Data Subset Selection: Unifying
  Principles with Information-Theory Intuitions","At its core, this thesis aims to enhance the practicality of deep learning by
improving the label and training efficiency of deep learning models. To this
end, we investigate data subset selection techniques, specifically active
learning and active sampling, grounded in information-theoretic principles.
Active learning improves label efficiency, while active sampling enhances
training efficiency. Supervised deep learning models often require extensive
training with labeled data. Label acquisition can be expensive and
time-consuming, and training large models is resource-intensive, hindering the
adoption outside academic research and ""big tech."" Existing methods for data
subset selection in deep learning often rely on heuristics or lack a principled
information-theoretic foundation. In contrast, this thesis examines several
objectives for data subset selection and their applications within deep
learning, striving for a more principled approach inspired by information
theory. We begin by disentangling epistemic and aleatoric uncertainty in single
forward-pass deep neural networks, which provides helpful intuitions and
insights into different forms of uncertainty and their relevance for data
subset selection. We then propose and investigate various approaches for active
learning and data subset selection in (Bayesian) deep learning. Finally, we
relate various existing and proposed approaches to approximations of
information quantities in weight or prediction space. Underpinning this work is
a principled and practical notation for information-theoretic quantities that
includes both random variables and observed outcomes. This thesis demonstrates
the benefits of working from a unified perspective and highlights the potential
impact of our contributions to the practical application of deep learning.",Andreas Kirsch,2024,http://arxiv.org/abs/2401.04305v3
"A Comprehensive Survey on Deep Clustering: Taxonomy, Challenges, and
  Future Directions","Clustering is a fundamental machine learning task which has been widely
studied in the literature. Classic clustering methods follow the assumption
that data are represented as features in a vectorized form through various
representation learning techniques. As the data become increasingly complicated
and complex, the shallow (traditional) clustering methods can no longer handle
the high-dimensional data type. With the huge success of deep learning,
especially the deep unsupervised learning, many representation learning
techniques with deep architectures have been proposed in the past decade.
Recently, the concept of Deep Clustering, i.e., jointly optimizing the
representation learning and clustering, has been proposed and hence attracted
growing attention in the community. Motivated by the tremendous success of deep
learning in clustering, one of the most fundamental machine learning tasks, and
the large number of recent advances in this direction, in this paper we conduct
a comprehensive survey on deep clustering by proposing a new taxonomy of
different state-of-the-art approaches. We summarize the essential components of
deep clustering and categorize existing methods by the ways they design
interactions between deep representation learning and clustering. Moreover,
this survey also provides the popular benchmark datasets, evaluation metrics
and open-source implementations to clearly illustrate various experimental
settings. Last but not least, we discuss the practical applications of deep
clustering and suggest challenging topics deserving further investigations as
future directions.","Sheng Zhou, Hongjia Xu, Zhuonan Zheng, Jiawei Chen, Zhao li, Jiajun Bu, Jia Wu, Xin Wang, Wenwu Zhu, Martin Ester",2022,http://arxiv.org/abs/2206.07579v1
Data Optimization in Deep Learning: A Survey,"Large-scale, high-quality data are considered an essential factor for the
successful application of many deep learning techniques. Meanwhile, numerous
real-world deep learning tasks still have to contend with the lack of
sufficient amounts of high-quality data. Additionally, issues such as model
robustness, fairness, and trustworthiness are also closely related to training
data. Consequently, a huge number of studies in the existing literature have
focused on the data aspect in deep learning tasks. Some typical data
optimization techniques include data augmentation, logit perturbation, sample
weighting, and data condensation. These techniques usually come from different
deep learning divisions and their theoretical inspirations or heuristic
motivations may seem unrelated to each other. This study aims to organize a
wide range of existing data optimization methodologies for deep learning from
the previous literature, and makes the effort to construct a comprehensive
taxonomy for them. The constructed taxonomy considers the diversity of split
dimensions, and deep sub-taxonomies are constructed for each dimension. On the
basis of the taxonomy, connections among the extensive data optimization
methods for deep learning are built in terms of four aspects. We probe into
rendering several promising and interesting future directions. The constructed
taxonomy and the revealed connections will enlighten the better understanding
of existing methods and the design of novel data optimization techniques.
Furthermore, our aspiration for this survey is to promote data optimization as
an independent subdivision of deep learning. A curated, up-to-date list of
resources related to data optimization in deep learning is available at
\url{https://github.com/YaoRujing/Data-Optimization}.","Ou Wu, Rujing Yao",2023,http://arxiv.org/abs/2310.16499v1
Spectral Clustering via Ensemble Deep Autoencoder Learning (SC-EDAE),"Recently, a number of works have studied clustering strategies that combine
classical clustering algorithms and deep learning methods. These approaches
follow either a sequential way, where a deep representation is learned using a
deep autoencoder before obtaining clusters with k-means, or a simultaneous way,
where deep representation and clusters are learned jointly by optimizing a
single objective function. Both strategies improve clustering performance,
however the robustness of these approaches is impeded by several deep
autoencoder setting issues, among which the weights initialization, the width
and number of layers or the number of epochs. To alleviate the impact of such
hyperparameters setting on the clustering performance, we propose a new model
which combines the spectral clustering and deep autoencoder strengths in an
ensemble learning framework. Extensive experiments on various benchmark
datasets demonstrate the potential and robustness of our approach compared to
state-of-the-art deep clustering methods.","Severine Affeldt, Lazhar Labiod, Mohamed Nadif",2019,http://arxiv.org/abs/1901.02291v2
"Deep Reservoir Networks with Learned Hidden Reservoir Weights using
  Direct Feedback Alignment","Deep Reservoir Computing has emerged as a new paradigm for deep learning,
which is based around the reservoir computing principle of maintaining random
pools of neurons combined with hierarchical deep learning. The reservoir
paradigm reflects and respects the high degree of recurrence in biological
brains, and the role that neuronal dynamics play in learning. However, one
issue hampering deep reservoir network development is that one cannot
backpropagate through the reservoir layers. Recent deep reservoir architectures
do not learn hidden or hierarchical representations in the same manner as deep
artificial neural networks, but rather concatenate all hidden reservoirs
together to perform traditional regression. Here we present a novel Deep
Reservoir Network for time series prediction and classification that learns
through the non-differentiable hidden reservoir layers using a
biologically-inspired backpropagation alternative called Direct Feedback
Alignment, which resembles global dopamine signal broadcasting in the brain. We
demonstrate its efficacy on two real world multidimensional time series
datasets.","Matthew Evanusa, Cornelia Fermüller, Yiannis Aloimonos",2020,http://arxiv.org/abs/2010.06209v3
How to fine-tune deep neural networks in few-shot learning?,"Deep learning has been widely used in data-intensive applications. However,
training a deep neural network often requires a large data set. When there is
not enough data available for training, the performance of deep learning models
is even worse than that of shallow networks. It has been proved that few-shot
learning can generalize to new tasks with few training samples. Fine-tuning of
a deep model is simple and effective few-shot learning method. However, how to
fine-tune deep learning models (fine-tune convolution layer or BN layer?) still
lack deep investigation. Hence, we study how to fine-tune deep models through
experimental comparison in this paper. Furthermore, the weight of the models is
analyzed to verify the feasibility of the fine-tuning method.","Peng Peng, Jiugen Wang",2020,http://arxiv.org/abs/2012.00204v1
Ensemble deep learning: A review,"Ensemble learning combines several individual models to obtain better
generalization performance. Currently, deep learning architectures are showing
better performance compared to the shallow or traditional models. Deep ensemble
learning models combine the advantages of both the deep learning models as well
as the ensemble learning such that the final model has better generalization
performance. This paper reviews the state-of-art deep ensemble models and hence
serves as an extensive summary for the researchers. The ensemble models are
broadly categorised into bagging, boosting, stacking, negative correlation
based deep ensemble models, explicit/implicit ensembles,
homogeneous/heterogeneous ensemble, decision fusion strategies based deep
ensemble models. Applications of deep ensemble models in different domains are
also briefly discussed. Finally, we conclude this paper with some potential
future research directions.","M. A. Ganaie, Minghui Hu, A. K. Malik, M. Tanveer, P. N. Suganthan",2021,http://arxiv.org/abs/2104.02395v3
Deep Learning for Iris Recognition: A Survey,"In this survey, we provide a comprehensive review of more than 200 papers,
technical reports, and GitHub repositories published over the last 10 years on
the recent developments of deep learning techniques for iris recognition,
covering broad topics on algorithm designs, open-source tools, open challenges,
and emerging research. First, we conduct a comprehensive analysis of deep
learning techniques developed for two main sub-tasks in iris biometrics:
segmentation and recognition. Second, we focus on deep learning techniques for
the robustness of iris recognition systems against presentation attacks and via
human-machine pairing. Third, we delve deep into deep learning techniques for
forensic application, especially in post-mortem iris recognition. Fourth, we
review open-source resources and tools in deep learning techniques for iris
recognition. Finally, we highlight the technical challenges, emerging research
trends, and outlook for the future of deep learning in iris recognition.","Kien Nguyen, Hugo Proença, Fernando Alonso-Fernandez",2022,http://arxiv.org/abs/2210.05866v1
Deep Learning and Computational Physics (Lecture Notes),"These notes were compiled as lecture notes for a course developed and taught
at the University of the Southern California. They should be accessible to a
typical engineering graduate student with a strong background in Applied
Mathematics.
  The main objective of these notes is to introduce a student who is familiar
with concepts in linear algebra and partial differential equations to select
topics in deep learning. These lecture notes exploit the strong connections
between deep learning algorithms and the more conventional techniques of
computational physics to achieve two goals. First, they use concepts from
computational physics to develop an understanding of deep learning algorithms.
Not surprisingly, many concepts in deep learning can be connected to similar
concepts in computational physics, and one can utilize this connection to
better understand these algorithms. Second, several novel deep learning
algorithms can be used to solve challenging problems in computational physics.
Thus, they offer someone who is interested in modeling a physical phenomena
with a complementary set of tools.","Deep Ray, Orazio Pinti, Assad A. Oberai",2023,http://arxiv.org/abs/2301.00942v1
"A Study on the Impact of Face Image Quality on Face Recognition in the
  Wild","Deep learning has received increasing interests in face recognition recently.
Large quantities of deep learning methods have been proposed to handle various
problems appeared in face recognition. Quite a lot deep methods claimed that
they have gained or even surpassed human-level face verification performance in
certain databases. As we know, face image quality poses a great challenge to
traditional face recognition methods, e.g. model-driven methods with
hand-crafted features. However, a little research focus on the impact of face
image quality on deep learning methods, and even human performance. Therefore,
we raise a question: Is face image quality still one of the challenges for deep
learning based face recognition, especially in unconstrained condition. Based
on this, we further investigate this problem on human level. In this paper, we
partition face images into three different quality sets to evaluate the
performance of deep learning methods on cross-quality face images in the wild,
and then design a human face verification experiment on these cross-quality
data. The result indicates that quality issue still needs to be studied
thoroughly in deep learning, human own better capability in building the
relations between different face images with large quality gaps, and saying
deep learning method surpasses human-level is too optimistic.",Na Zhang,2023,http://arxiv.org/abs/2307.02679v1
"Deep Fast Vision: A Python Library for Accelerated Deep Transfer
  Learning Vision Prototyping","Deep learning-based vision is characterized by intricate frameworks that
often necessitate a profound understanding, presenting a barrier to newcomers
and limiting broad adoption. With many researchers grappling with the
constraints of smaller datasets, there's a pronounced reliance on pre-trained
neural networks, especially for tasks such as image classification. This
reliance is further intensified in niche imaging areas where obtaining vast
datasets is challenging. Despite the widespread use of transfer learning as a
remedy to the small dataset dilemma, a conspicuous absence of tailored auto-ML
solutions persists. Addressing these challenges is ""Deep Fast Vision"", a python
library that streamlines the deep learning process. This tool offers a
user-friendly experience, enabling results through a simple nested dictionary
definition, helping to democratize deep learning for non-experts. Designed for
simplicity and scalability, Deep Fast Vision appears as a bridge, connecting
the complexities of existing deep learning frameworks with the needs of a
diverse user base.",Fabi Prezja,2023,http://arxiv.org/abs/2311.06169v1
"Computability of Classification and Deep Learning: From Theoretical
  Limits to Practical Feasibility through Quantization","The unwavering success of deep learning in the past decade led to the
increasing prevalence of deep learning methods in various application fields.
However, the downsides of deep learning, most prominently its lack of
trustworthiness, may not be compatible with safety-critical or
high-responsibility applications requiring stricter performance guarantees.
Recently, several instances of deep learning applications have been shown to be
subject to theoretical limitations of computability, undermining the
feasibility of performance guarantees when employed on real-world computers. We
extend the findings by studying computability in the deep learning framework
from two perspectives: From an application viewpoint in the context of
classification problems and a general limitation viewpoint in the context of
training neural networks. In particular, we show restrictions on the
algorithmic solvability of classification problems that also render the
algorithmic detection of failure in computations in a general setting
infeasible. Subsequently, we prove algorithmic limitations in training deep
neural networks even in cases where the underlying problem is well-behaved.
Finally, we end with a positive observation, showing that in quantized versions
of classification and deep network training, computability restrictions do not
arise or can be overcome to a certain degree.","Holger Boche, Vit Fojtik, Adalbert Fono, Gitta Kutyniok",2024,http://arxiv.org/abs/2408.06212v1
Deep Transductive Semi-supervised Maximum Margin Clustering,"Semi-supervised clustering is an very important topic in machine learning and
computer vision. The key challenge of this problem is how to learn a metric,
such that the instances sharing the same label are more likely close to each
other on the embedded space. However, little attention has been paid to learn
better representations when the data lie on non-linear manifold. Fortunately,
deep learning has led to great success on feature learning recently. Inspired
by the advances of deep learning, we propose a deep transductive
semi-supervised maximum margin clustering approach. More specifically, given
pairwise constraints, we exploit both labeled and unlabeled data to learn a
non-linear mapping under maximum margin framework for clustering analysis.
Thus, our model unifies transductive learning, feature learning and maximum
margin techniques in the semi-supervised clustering framework. We pretrain the
deep network structure with restricted Boltzmann machines (RBMs) layer by layer
greedily, and optimize our objective function with gradient descent. By
checking the most violated constraints, our approach updates the model
parameters through error backpropagation, in which deep features are learned
automatically. The experimental results shows that our model is significantly
better than the state of the art on semi-supervised clustering.",Gang Chen,2015,http://arxiv.org/abs/1501.06237v1
"Deep Learning Approach for Enhanced Cyber Threat Indicators in Twitter
  Stream","In recent days, the amount of Cyber Security text data shared via social
media resources mainly Twitter has increased. An accurate analysis of this data
can help to develop cyber threat situational awareness framework for a cyber
threat. This work proposes a deep learning based approach for tweet data
analysis. To convert the tweets into numerical representations, various text
representations are employed. These features are feed into deep learning
architecture for optimal feature extraction as well as classification. Various
hyperparameter tuning approaches are used for identifying optimal text
representation method as well as optimal network parameters and network
structures for deep learning models. For comparative analysis, the classical
text representation method with classical machine learning algorithm is
employed. From the detailed analysis of experiments, we found that the deep
learning architecture with advanced text representation methods performed
better than the classical text representation and classical machine learning
algorithms. The primary reason for this is that the advanced text
representation methods have the capability to learn sequential properties which
exist among the textual data and deep learning architectures learns the optimal
features along with decreasing the feature size.","Simran K, Prathiksha Balakrishna, Vinayakumar R, Soman KP",2020,http://arxiv.org/abs/2004.00503v1
"Deep Learning is Singular, and That's Good","In singular models, the optimal set of parameters forms an analytic set with
singularities and classical statistical inference cannot be applied to such
models. This is significant for deep learning as neural networks are singular
and thus ""dividing"" by the determinant of the Hessian or employing the Laplace
approximation are not appropriate. Despite its potential for addressing
fundamental issues in deep learning, singular learning theory appears to have
made little inroads into the developing canon of deep learning theory. Via a
mix of theory and experiment, we present an invitation to singular learning
theory as a vehicle for understanding deep learning and suggest important
future work to make singular learning theory directly applicable to how deep
learning is performed in practice.","Daniel Murfet, Susan Wei, Mingming Gong, Hui Li, Jesse Gell-Redman, Thomas Quella",2020,http://arxiv.org/abs/2010.11560v1
Automated Architecture Design for Deep Neural Networks,"Machine learning has made tremendous progress in recent years and received
large amounts of public attention. Though we are still far from designing a
full artificially intelligent agent, machine learning has brought us many
applications in which computers solve human learning tasks remarkably well.
Much of this progress comes from a recent trend within machine learning, called
deep learning. Deep learning models are responsible for many state-of-the-art
applications of machine learning. Despite their success, deep learning models
are hard to train, very difficult to understand, and often times so complex
that training is only possible on very large GPU clusters. Lots of work has
been done on enabling neural networks to learn efficiently. However, the design
and architecture of such neural networks is often done manually through trial
and error and expert knowledge. This thesis inspects different approaches,
existing and novel, to automate the design of deep feedforward neural networks
in an attempt to create less complex models with good performance that take
away the burden of deciding on an architecture and make it more efficient to
design and train such deep networks.",Steven Abreu,2019,http://arxiv.org/abs/1908.10714v1
"Learning Empirical Bregman Divergence for Uncertain Distance
  Representation","Deep metric learning techniques have been used for visual representation in
various supervised and unsupervised learning tasks through learning embeddings
of samples with deep networks. However, classic approaches, which employ a
fixed distance metric as a similarity function between two embeddings, may lead
to suboptimal performance for capturing the complex data distribution. The
Bregman divergence generalizes measures of various distance metrics and arises
throughout many fields of deep metric learning. In this paper, we first show
how deep metric learning loss can arise from the Bregman divergence. We then
introduce a novel method for learning empirical Bregman divergence directly
from data based on parameterizing the convex function underlying the Bregman
divergence with a deep learning setting. We further experimentally show that
our approach performs effectively on five popular public datasets compared to
other SOTA deep metric learning methods, particularly for pattern recognition
problems.","Zhiyuan Li, Ziru Liu, Anna Zou, Anca L. Ralescu",2023,http://arxiv.org/abs/2304.07689v3
Cross multiscale vision transformer for deep fake detection,"The proliferation of deep fake technology poses significant challenges to
digital media authenticity, necessitating robust detection mechanisms. This
project evaluates deep fake detection using the SP Cup's 2025 deep fake
detection challenge dataset. We focused on exploring various deep learning
models for detecting deep fake content, utilizing traditional deep learning
techniques alongside newer architectures. Our approach involved training a
series of models and rigorously assessing their performance using metrics such
as accuracy.","Akhshan P, Taneti Sanjay, Chandrakala S",2025,http://arxiv.org/abs/2502.00833v1
"Integrating Deep Reinforcement Learning Networks with Health System
  Simulations","Background and motivation: Combining Deep Reinforcement Learning (Deep RL)
and Health Systems Simulations has significant potential, for both research
into improving Deep RL performance and safety, and in operational practice.
While individual toolkits exist for Deep RL and Health Systems Simulations, no
framework to integrate the two has been established.
  Aim: Provide a framework for integrating Deep RL Networks with Health System
Simulations, and to ensure this framework is compatible with Deep RL agents
that have been developed and tested using OpenAI Gym.
  Methods: We developed our framework based on the OpenAI Gym framework, and
demonstrate its use on a simple hospital bed capacity model. We built the Deep
RL agents using PyTorch, and the Hospital Simulatation using SimPy.
  Results: We demonstrate example models using a Double Deep Q Network or a
Duelling Double Deep Q Network as the Deep RL agent.
  Conclusion: SimPy may be used to create Health System Simulations that are
compatible with agents developed and tested on OpenAI Gym environments.
  GitHub repository of code:
https://github.com/MichaelAllen1966/learninghospital","Michael Allen, Thomas Monks",2020,http://arxiv.org/abs/2008.07434v1
"Deep network as memory space: complexity, generalization, disentangled
  representation and interpretability","By bridging deep networks and physics, the programme of geometrization of
deep networks was proposed as a framework for the interpretability of deep
learning systems. Following this programme we can apply two key ideas of
physics, the geometrization of physics and the least action principle, on deep
networks and deliver a new picture of deep networks: deep networks as memory
space of information, where the capacity, robustness and efficiency of the
memory are closely related with the complexity, generalization and
disentanglement of deep networks. The key components of this understanding
include:(1) a Fisher metric based formulation of the network complexity; (2)the
least action (complexity=action) principle on deep networks and (3)the geometry
built on deep network configurations. We will show how this picture will bring
us a new understanding of the interpretability of deep learning systems.","X. Dong, L. Zhou",2019,http://arxiv.org/abs/1907.06572v1
"Why Do Deep Residual Networks Generalize Better than Deep Feedforward
  Networks? -- A Neural Tangent Kernel Perspective","Deep residual networks (ResNets) have demonstrated better generalization
performance than deep feedforward networks (FFNets). However, the theory behind
such a phenomenon is still largely unknown. This paper studies this fundamental
problem in deep learning from a so-called ""neural tangent kernel"" perspective.
Specifically, we first show that under proper conditions, as the width goes to
infinity, training deep ResNets can be viewed as learning reproducing kernel
functions with some kernel function. We then compare the kernel of deep ResNets
with that of deep FFNets and discover that the class of functions induced by
the kernel of FFNets is asymptotically not learnable, as the depth goes to
infinity. In contrast, the class of functions induced by the kernel of ResNets
does not exhibit such degeneracy. Our discovery partially justifies the
advantages of deep ResNets over deep FFNets in generalization abilities.
Numerical results are provided to support our claim.","Kaixuan Huang, Yuqing Wang, Molei Tao, Tuo Zhao",2020,http://arxiv.org/abs/2002.06262v2
A C++ library for Multimodal Deep Learning,"MDL, Multimodal Deep Learning Library, is a deep learning framework that
supports multiple models, and this document explains its philosophy and
functionality. MDL runs on Linux, Mac, and Unix platforms. It depends on
OpenCV.",Jian Jin,2015,http://arxiv.org/abs/1512.06927v4
"Proceedings of the First International Workshop on Deep Learning and
  Music","Proceedings of the First International Workshop on Deep Learning and Music,
joint with IJCNN, Anchorage, US, May 17-18, 2017","Dorien Herremans, Ching-Hua Chuan",2017,http://arxiv.org/abs/1706.08675v1
Machine listening intelligence,"This manifesto paper will introduce machine listening intelligence, an
integrated research framework for acoustic and musical signals modelling, based
on signal processing, deep learning and computational musicology.",C. E. Cella,2017,http://arxiv.org/abs/1706.09557v1
Mathematics of Deep Learning,"Recently there has been a dramatic increase in the performance of recognition
systems due to the introduction of deep architectures for representation
learning and classification. However, the mathematical reasons for this success
remain elusive. This tutorial will review recent work that aims to provide a
mathematical justification for several properties of deep networks, such as
global optimality, geometric stability, and invariance of the learned
representations.","Rene Vidal, Joan Bruna, Raja Giryes, Stefano Soatto",2017,http://arxiv.org/abs/1712.04741v1
NECA: Network-Embedded Deep Representation Learning for Categorical Data,"We propose NECA, a deep representation learning method for categorical data.
Built upon the foundations of network embedding and deep unsupervised
representation learning, NECA deeply embeds the intrinsic relationship among
attribute values and explicitly expresses data objects with numeric vector
representations. Designed specifically for categorical data, NECA can support
important downstream data mining tasks, such as clustering. Extensive
experimental analysis demonstrated the effectiveness of NECA.","Xiaonan Gao, Sen Wu, Wenjun Zhou",2022,http://arxiv.org/abs/2205.12752v1
"Leveraging Topological Maps in Deep Reinforcement Learning for
  Multi-Object Navigation","This work addresses the challenge of navigating expansive spaces with sparse
rewards through Reinforcement Learning (RL). Using topological maps, we elevate
elementary actions to object-oriented macro actions, enabling a simple Deep
Q-Network (DQN) agent to solve otherwise practically impossible environments.","Simon Hakenes, Tobias Glasmachers",2023,http://arxiv.org/abs/2310.10250v1
